name,block,timestamp,quantity,value
CVX,3775251,1630620040,690592.966115783,32404767.025714744
POPCORN,3775251,1630620040,48000000.0,46834.59485540391
SILO,3775251,1630620040,27107000.58465472,3456882.5826450223
CRV,3775251,1630620040,30605.80117011408,198779.99627028927
"ROME (🏛,🏛)",3775251,1630620040,2749566.107243417,41553119.30169667
MIM,3775251,1630620040,161946828.4792505,162337160.44577342
WBTC,3775251,1630620040,8.13046612,377672.00893733016
sOHM,3775251,1630620040,12.814474251,4924.501985045936
JLP,3775251,1630620040,74.00836220752076,33148.386116332564
WETH.e,3775251,1630620040,1297.9551570712651,4886408.187924378
DYP,3775251,1630620040,1.0,0.0001199958591628
HP,3775251,1630620040,500093605.0059424,54908862.760171965
FINGER,3775251,1630620040,9008616.342836384,15407368.4860914
SU,3775251,1630620040,75000000.0,0.12124179555
USDT.e,3775251,1630620040,1773.1525849999998,1772.1851530745262
SS,3775251,1630620040,1358.7582512411332,557313.4980546283
SPELL,3775251,1630620040,10397375.892645467,231727.06060920763
JOE,3775251,1630620040,31380.78015418469,55065.61540610343
TIME,3775251,1630620040,165612.623826264,528402608.0664089
CVX,3804051,1630674348,690592.966115783,32404767.025714744
POPCORN,3804051,1630674348,48000000.0,46835.49145147267
SILO,3804051,1630674348,27107000.58465472,3456948.760805487
CRV,3804051,1630674348,30605.80117011408,198779.99627028927
"ROME (🏛,🏛)",3804051,1630674348,2749566.107243417,41553914.78980806
MIM,3804051,1630674348,161946828.4792505,162337160.44577342
WBTC,3804051,1630674348,8.13046612,377672.00893733016
sOHM,3804051,1630674348,12.814474251,4924.501985045936
JLP,3804051,1630674348,74.00836220752076,33121.95034264235
WETH.e,3804051,1630674348,1297.9551570712651,4886408.187924378
DYP,3804051,1630674348,1.0,0.0001198855601734
HP,3804051,1630674348,500093605.0059424,54885116.21726853
FINGER,3804051,1630674348,9008616.342836384,15376238.680677967
SU,3804051,1630674348,75000000.0,0.12099683265
USDT.e,3804051,1630674348,1773.1525849999998,1772.1851530745262
SS,3804051,1630674348,1358.7582512411332,557140.3185171598
SPELL,3804051,1630674348,10397375.892645467,232294.5868015952
JOE,3804051,1630674348,31380.78015418469,55065.61540610343
TIME,3804051,1630674348,165612.623826264,528295376.3958372
CVX,3832851,1630737724,690592.966115783,32404767.025714744
POPCORN,3832851,1630737724,48000000.0,46835.49145147267
SILO,3832851,1630737724,27107000.58465472,3456948.760805487
CRV,3832851,1630737724,30605.80117011408,198779.99627028927
"ROME (🏛,🏛)",3832851,1630737724,2749566.107243417,41553914.78980806
MIM,3832851,1630737724,161946828.4792505,162355726.0398165
WBTC,3832851,1630737724,8.13046612,377672.00893733016
sOHM,3832851,1630737724,12.814474251,4924.501985045936
